"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","1990",5.374114287,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1991",5.374114287,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1992",5.89775281,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1993",5.903149607,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1994",5.221311477,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1995",5.457575758,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1996",5.925,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1997",4.257046981,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1998",5.545180723,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1999",6.270739437,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2000",5.924013158,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2001",5.506511281,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2002",6.191418081,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2003",5.521277778,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2004",6.380196507,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2005",5.55599398,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2006",4.414966736,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2007",6.556217525,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2008",5.43605,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2009",5.558333916,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2010",5.643452877,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2011",6.940943655,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2012",6.345276316,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2013",5.943480853,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2014",6.852982305,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2015",7.28364001,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2016",6.610538253,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2017",7.267326118,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2018",6.791593507,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2019",6.859589582,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2020",6.927432107,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2021",6.996401209,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2022",7.065323606,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2023",7.134982627,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2024",7.204025918,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2025",7.272691388,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2026",7.341463876,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2027",7.409954702,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1990",1.634404053,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1991",1.469796322,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1992",1.781197883,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1993",1.965752934,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1994",1.13567871,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1995",1.789874955,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.096300157,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1997",1.841522518,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1998",1.859631796,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.03471543,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2000",1.820885565,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.107631059,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2002",0.907039202,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2003",1.999823985,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.634782154,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.021297628,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2006",0.917247985,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.078794432,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.583139939,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.572942151,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.030107097,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.151108319,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.760921489,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.006071795,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.917246927,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.974305509,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.727729279,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.736503317,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",1.912011538,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.981697175,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.010998451,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.037699266,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2022",2.048211878,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2023",2.057926919,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2024",2.067446353,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2025",2.076730001,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2026",2.086871968,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2027",2.097301529,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1990",2.276878879,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1991",2.255903407,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1992",2.160365012,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1993",2.200126064,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1994",2.127415672,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.246702689,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.430287462,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1997",2.128538893,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1998",2.254960345,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.59709271,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.444586727,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.945235963,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.832420642,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.256458955,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.640937703,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.738052702,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.609576732,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.331727812,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.857490889,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.789729204,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.80850038,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.956796258,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.864579714,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.594307277,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.103399,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.881168167,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.574046747,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.337823246,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.222341568,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.235230935,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.248171858,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.261164546,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2022",3.274209204,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2023",3.287306041,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2024",3.300455265,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2025",3.313657086,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2026",3.326911714,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2027",3.340219361,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1990",4.586351977,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1991",4.24657101,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1992",4.548498576,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1993",3.318187938,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1994",4.907226944,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1995",4.597586402,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1996",4.740345979,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1997",4.650614439,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1998",4.507362576,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1999",4.649077181,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2000",4.85759322,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2001",4.809872216,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2002",4.770991706,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2003",4.239971171,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2004",4.64984127,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2005",4.818900352,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2006",4.592260664,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2007",4.718998207,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2008",4.913114936,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2009",4.727490148,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2010",4.760395577,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2011",4.924362944,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2012",4.980994307,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2013",4.939654784,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2014",4.963154286,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2015",5.070832669,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2016",5.237525355,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2017",5.144812218,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2018",5.17053628,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2019",5.196388961,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2020",5.222370906,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2021",5.24848276,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2022",5.274725174,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2023",5.3010988,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2024",5.327604294,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2025",5.354242315,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2026",5.381013527,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2027",5.407918595,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.655913979,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.179723502,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.538461539,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1993",3.474945534,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.719552337,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.934567085,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.015772871,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1997",3.638095238,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.514180025,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.453791469,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2000",3.759562842,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.555104114,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2002",4.006766554,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.033930255,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.037558685,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.088785047,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.839449541,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.333333333,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.215311005,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.236677869,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.759787337,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.528605201,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2012",4.101338432,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.862987631,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2014",4.00752587,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.711403097,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.688432836,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.135787268,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2018",4.156466204,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.177258889,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2020",4.198171763,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2021",4.219143821,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2022",4.240221439,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2023",4.261424945,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2024",4.282737233,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2025",4.304154279,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2026",4.325682171,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2027",4.347309913,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1990",4.505179047,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1991",4.455596609,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1992",4.607913492,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1993",4.181644498,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1994",4.588905577,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1995",4.446536878,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1996",5.071632195,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1997",5.178246761,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1998",4.813248694,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1999",4.935926836,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2000",4.933750046,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2001",5.091560069,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2002",4.677944827,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2003",4.380909028,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2004",4.994360536,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2005",4.867087128,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2006",4.899339321,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2007",4.638508814,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2008",5.17594997,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2009",5.317722243,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2010",4.815085968,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2011",4.947183433,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2012",4.717754471,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2013",5.080331482,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2014",5.200132188,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2015",5.413082478,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2016",5.389120033,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2017",5.263045768,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2018",5.300802547,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2019",5.338559326,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2020",5.376316105,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2021",5.414072884,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2022",5.451829663,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2023",5.489586442,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2024",5.527343221,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2025",5.5651,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2026",5.602856779,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2027",5.640613558,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.023809524,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.095505618,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.365853659,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1993",2.711151737,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.704467354,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1995",4.438581315,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.91926803,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.044069641,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.484693878,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.669928245,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.54515778,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.104918033,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2002",3.226769912,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2003",3.051203901,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2004",3.328850211,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2005",3.205845512,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.3429229,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2007",3.812759336,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.063946646,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.70672982,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.117309531,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.348436063,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.909791909,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.585243456,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.260306407,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.623362445,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.707375479,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.271604325,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.686232343,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.708810521,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.731388698,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.753966876,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2022",3.776545054,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2023",3.799123231,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2024",3.821701409,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2025",3.844279587,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2026",3.866857765,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2027",3.889435942,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1990",2.666666667,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1991",2.714285714,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1992",2.857142857,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1993",3.215846893,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1994",2.808630917,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1995",3.088257117,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1996",2.997182466,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1997",2.730062912,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1998",2.977090632,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1999",2.908657466,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2000",2.967015458,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2001",4.257584763,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2002",4.502704468,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2003",4.551124299,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2004",4.464506583,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2005",5.065292118,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2006",3.149019562,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2007",2.733111152,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2008",2.935942367,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2009",3.191420418,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2010",3.415105425,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2011",3.353283715,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2012",3.699984972,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2013",3.616000285,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2014",3.548383191,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2015",3.914199855,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2016",3.810093011,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2017",4.063795101,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2018",3.929362655,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2019",3.991079824,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2020",4.052154109,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2021",4.112573936,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2022",4.175006813,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2023",4.237993867,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2024",4.300753619,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2025",4.362936631,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2026",4.425040119,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2027",4.487228655,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1990",4.213290461,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1991",4.127219248,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.953023424,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1993",4.082108209,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1994",4.303382226,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1995",3.731950188,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1996",4.170641227,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.734662432,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1998",4.207719641,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1999",4.631151311,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2000",4.935531858,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2001",4.766049224,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2002",5.0998916,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.491411911,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.478340013,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.751694104,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2006",5.227409277,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2007",5.082402818,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2008",5.084365655,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2009",4.968762401,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2010",5.418450882,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2011",5.477792025,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2012",5.65675701,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2013",4.797142857,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2014",5.241428571,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2015",5.014864865,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2016",5.362857143,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.14890511,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2018",5.193721671,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2019",5.232864222,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2020",5.285355485,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2021",5.338824016,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2022",5.385621792,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2023",5.427206918,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2024",5.467436051,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2025",5.505907337,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2026",5.549392673,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2027",5.594262579,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1990",4.814933248,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1991",5.054342937,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1992",5.369765791,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1993",5.436487064,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1994",4.682269585,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1995",5.533418561,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1996",5.494250114,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1997",5.904567789,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1998",5.333377151,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1999",6.635996785,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2000",7.428571429,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2001",7.144526066,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2002",7.484534147,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2003",6.550099841,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2004",8.092020804,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2005",6.89631737,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2006",8.496571119,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2007",8.112035156,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2008",7.491792625,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2009",8.124064132,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2010",7.285795757,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2011",8.924456621,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2012",9.105307035,
